equal,pyth,pure,length
261.6255653005986,260.74074074074076,264.0,1.0
293.6647679174076,293.33333333333337,297.0,0.25
311.1269837220809,309.0260631001372,316.8,0.25
261.6255653005986,260.74074074074076,264.0,1.0
391.99543598174927,391.11111111111114,396.0,0.25
261.6255653005986,260.74074074074076,264.0,0.25
293.6647679174076,293.33333333333337,297.0,0.25
311.1269837220809,309.0260631001372,316.8,0.25
261.6255653005986,260.74074074074076,264.0,1.0
391.99543598174927,391.11111111111114,396.0,0.25
261.6255653005986,260.74074074074076,264.0,0.25
293.6647679174076,293.33333333333337,297.0,0.25
311.1269837220809,309.0260631001372,316.8,0.25
261.6255653005986,260.74074074074076,264.0,0.5
261.6255653005986,260.74074074074076,264.0,0.5
246.94165062806206,247.50000000000003,247.5,0.25
261.6255653005986,260.74074074074076,264.0,0.75
293.6647679174076,293.33333333333337,297.0,0.25
311.1269837220809,309.0260631001372,316.8,0.25
261.6255653005986,260.74074074074076,264.0,1.0
293.6647679174076,293.33333333333337,297.0,0.25
311.1269837220809,309.0260631001372,316.8,0.25
261.6255653005986,260.74074074074076,264.0,1.0
391.99543598174927,391.11111111111114,396.0,0.25
261.6255653005986,260.74074074074076,264.0,0.25
293.6647679174076,293.33333333333337,297.0,0.25
311.1269837220809,309.0260631001372,316.8,0.25
261.6255653005986,260.74074074074076,264.0,1.0
391.99543598174927,391.11111111111114,396.0,0.25
261.6255653005986,260.74074074074076,264.0,0.25
293.6647679174076,293.33333333333337,297.0,0.25
311.1269837220809,309.0260631001372,316.8,0.25
261.6255653005986,260.74074074074076,264.0,0.5
261.6255653005986,260.74074074074076,264.0,0.5
246.94165062806206,247.50000000000003,247.5,0.25
261.6255653005986,260.74074074074076,264.0,0.75
293.6647679174076,293.33333333333337,297.0,0.25
311.1269837220809,309.0260631001372,316.8,0.25
261.6255653005986,260.74074074074076,264.0,1.0
622.2539674441618,618.0521262002744,633.6,0.25
391.99543598174927,391.11111111111114,396.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
587.3295358348151,586.6666666666667,594.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
391.99543598174927,391.11111111111114,396.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
391.99543598174927,391.11111111111114,396.0,0.25
587.3295358348151,586.6666666666667,594.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
587.3295358348151,586.6666666666667,594.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
493.8833012561241,495.00000000000006,495.0,0.25
523.2511306011972,521.4814814814815,528.0,0.25
587.3295358348151,586.6666666666667,594.0,0.25
391.99543598174927,391.11111111111114,396.0,0.25
493.8833012561241,495.00000000000006,495.0,0.25
587.3295358348151,586.6666666666667,594.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
391.99543598174927,391.11111111111114,396.0,0.25
